,Cities,Countries,Population
98,Ónod,Hungary,2461.0
99,San Martín,El Salvador,39361.0
100,Terque,Spain,447.0
101,San Vicente,Mexico,14324.0
102,Qianyou,China,0.0
103,Rokitno Szlacheckie,Poland,1094.0
104,Cumba,Peru,0.0
105,Zionsville,USA,26296.0
106,Wiveliscombe,United Kingdom,2178.0
107,Geromina,Italy,2036.0
108,Plaisance,Haiti,4152.0
109,Damara,Central African Republic,20093.0
110,Inzhavino,Russia,10278.0
111,Omak,USA,4854.0
112,Novigrad Podravski,Croatia,0.0
113,Holguera,Spain,770.0
114,Ston,Croatia,3000.0
115,Kampong Speu,Cambodia,33231.0
116,El Hamma,Tunisia,62000.0
117,Jirny,Czechia,1366.0
118,Thomaston,USA,1875.0
119,Bebedouro,Brazil,71862.0
120,Sesto ed Uniti,Italy,2808.0
121,Großörner,Germany,2092.0
122,Faisalabad,Pakistan,2506595.0
123,Baitoa,Dominican Republic,2013.0
124,Vratsa,Bulgaria,64941.0
125,Saint-Geniès-de-Fontedit,France,1351.0
126,San Bovio-San Felice,Italy,3963.0
127,Harapan Jaya,Indonesia,0.0
128,Pando,Uruguay,24047.0
129,San Miguel Chicaj,Guatemala,13747.0
130,Ayuela,Spain,65.0
131,Nshavan,Armenia,1916.0
132,Les Fins,France,2797.0
133,Pompeiana,Italy,775.0
134,Lonya Grande,Peru,0.0
135,Uruş,Turkey,0.0
136,Mühl Rosin,Germany,1168.0
137,Fara Novarese,Italy,2105.0
138,Halitpaşa,Turkey,0.0
139,Zapote de Peralta,Mexico,1307.0
140,Sveti Jurij ob Ščavnici,Slovenia,204.0
141,Al Aḩad,Yemen,0.0
142,Querobabi,Mexico,1988.0
143,Dinga,Pakistan,39784.0
144,Sappada,Italy,1359.0
145,Wenden,Germany,19924.0
146,Plouvien,France,3346.0
147,Horní Počaply,Czechia,1141.0
148,Salanda,Turkey,0.0
149,Butere,Kenya,11205.0
150,Muroto,Japanese,0.0
151,Orero,Italy,97.0
152,Camotlán de Miraflores,Mexico,1778.0
153,Kropotkin,Russia,1765.0
154,Dakota Dunes,USA,2540.0
155,Dallenwil,Switzerland,1738.0
156,Ojacastro,Spain,218.0
157,Odzun,Armenia,4524.0
158,Hochpoint,Austria,1545.0
159,Santee,USA,57787.0
160,Schirgiswalde,Germany,3009.0
161,South Brisbane,Australia,60000.0
162,Port Washington North,USA,3207.0
163,Muara Beliti,Indonesia,0.0
164,Coronon,Philippines,6854.0
165,Dzula,Mexico,1223.0
166,Boca del Monte,Mexico,4832.0
167,Kırıkhan,Turkey,60916.0
168,Komaki,Japanese,151025.0
169,Andorra,Spain,7890.0
170,Fuchū,Japanese,0.0
171,Berwang,Austria,353.0
172,Valea Măcrișului,Romania,1512.0
173,Luyego,Spain,865.0
174,Staroye Drozhzhanoye,Russia,3338.0
175,Il’inskoye-Khovanskoye,Russia,3562.0
176,Abramów,Poland,713.0
177,Garko,Nigeria,21141.0
178,Knićanin,Serbia,2226.0
